Champ20,Champ30,Champ21,LIBELLE,INTIT,CPT,FIXE,ANA,CLO
,,,,ELANDO ETOYI                  ,42154460,D,,
,,,,ELANDO ETOYI                  ,42152460,D,,
,,,,ELANDO ETOYI                  ,42153460,D,,
,,,,ELECTRICITE,61561100,,N,N
,,,,ELEVES                        ,45003000,D,,
,,,,ELEVES                        ,45004000,D,,
,,,,ELEVES                        ,45001000,D,,
,,,,ELEVES                        ,45002000,D,,
,,,,Eleves exclus et finalistes   ,46001010,D,,
,,,,Eleves exclus et finalistes   ,46003010,D,,
,,,,Eleves exclus et finalistes   ,46002010,D,,
,,,,Eleves exclus et finalistes   ,46004010,D,,
,,,,Eleves exclus et finalistes   ,46603010,D,,
,,,,Eleves exclus et finalistes   ,46601010,D,,
,,,,Eleves exclus et finalistes   ,46602010,D,,
,,,,Eleves exclus et finalistes   ,46604010,D,,
,,,,E-MAIL ET ACCESSOIRES,22701000,,N,N
,,,,EMAXON,41011810,,N,N
,,,,EMBALLAGES MEDICAMENTS        ,32013000,D,,
,,,,EMBALLAGES MEDICAMENTS        ,32012000,D,,
,,,,EMBALLAGES MEDICAMENTS        ,32011000,D,,
,,,,EMBALLAGES MEDICAMENTS        ,32014000,D,,
,,,,EMERGENCY PROGRAM SUPPORT     ,10123260,D,,
,,,,EMERGENCY PROGRAM SUPPORT     ,10124260,D,,
,,,,EMERGENCY PROGRAM SUPPORT     ,10122260,D,,
,,,,EMERGENCY PROGRAM SUPPORT     ,10121260,D,,
,,,,EMPRUNT AUPRES DES Eses APPAR.,50403000,D,,
,,,,EMPRUNT AUPRES DES Eses APPAR.,50401000,D,,
,,,,EMPRUNT AUPRES DES Eses APPAR.,50402000,D,,
,,,,EMPRUNT AUPRES DES Eses APPAR.,50404000,D,,
,,,,ENDODONTIE,71052500,,N,N
,,,,ENDOSCOPIE,71011034,,N,N
,,,,ENDOWMENT # 54745             ,10121240,D,,
,,,,ENDOWMENT # 54745             ,10124240,D,,
,,,,ENDOWMENT # 54745             ,10122240,D,,
,,,,ENDOWMENT # 54745             ,10123240,D,,
,,,,ENDOWMENT FUND # 54720/KEMP   ,10124190,D,,
,,,,ENDOWMENT FUND # 54720/KEMP   ,10123190,D,,
,,,,ENDOWMENT FUND # 54720/KEMP   ,10122190,D,,
,,,,ENDOWMENT FUND # 54720/KEMP   ,10121190,D,,
,,,,ENDOWMENT FUND # 54800/HOLDEN ,10122180,D,,
,,,,ENDOWMENT FUND # 54800/HOLDEN ,10124180,D,,
,,,,ENDOWMENT FUND # 54800/HOLDEN ,10123180,D,,
,,,,ENDOWMENT FUND # 54800/HOLDEN ,10121180,D,,
,,,,ENDOWMENT FUND # 57317 / GRAY ,10123300,D,,
,,,,ENDOWMENT FUND # 57317 / GRAY ,10122300,D,,
,,,,ENDOWMENT FUND # 57317 / GRAY ,10121300,D,,
,,,,ENDOWMENT FUND # 57317 / GRAY ,10124300,D,,
,,,,ENDOWMENT FUND # 57548/VAUGHN ,10121200,D,,
,,,,ENDOWMENT FUND # 57548/VAUGHN ,10122200,D,,
,,,,ENDOWMENT FUND # 57548/VAUGHN ,10123200,D,,
,,,,ENDOWMENT FUND # 57548/VAUGHN ,10124200,D,,
,,,,ENGONDO ENEMBA                ,45983040,D,,
,,,,ENGONDO ENEMBA                ,45981040,D,,
,,,,ENGONDO ENEMBA                ,45982040,D,,
,,,,ENGONDO ENEMBA                ,45984040,D,,
,,,,ENTEBBE HANDLINO,41011860,,N,N
,,,,ENTRETIEN GROUPE ELECTROGENE,63171100,,N,N
,,,,ENTRETIEN IMCK LC,63331350,,N,N
,,,,ENTRETIEN IMMEUBLES           ,63112000,F,,
,,,,ENTRETIEN IMMEUBLES           ,63114000,F,,
,,,,ENTRETIEN IMMEUBLES           ,63111000,F,,
,,,,ENTRETIEN IMMEUBLES           ,63113000,F,,
,,,,ENTRETIEN INSTALLATIONS & AGE.,63181000,F,,
,,,,ENTRETIEN INSTALLATIONS & AGE.,63183000,F,,
,,,,ENTRETIEN INSTALLATIONS & AGE.,63182000,F,,
,,,,ENTRETIEN INSTALLATIONS & AGE.,63184000,F,,
,,,,ENTRETIEN LC MOBILITY,63361350,,N,N
,,,,ENTRETIEN LC MOBILITY,63161350,,N,N
,,,,ENTRETIEN MACHINES & AUTRES EQ,63164000,F,,
,,,,ENTRETIEN MACHINES & AUTRES EQ,63162000,F,,
,,,,ENTRETIEN MACHINES & AUTRES EQ,63161000,F,,
,,,,ENTRETIEN MACHINES & AUTRES EQ,63163000,F,,
,,,,ENTRETIEN MAT. DE TRANSPORT   ,63152000,F,,
,,,,ENTRETIEN MAT. DE TRANSPORT   ,63153000,F,,
,,,,ENTRETIEN MAT. DE TRANSPORT   ,63151000,F,,
,,,,ENTRETIEN MAT. DE TRANSPORT   ,63154000,F,,
,,,,ENTRETIEN TERRAIN             ,63121000,V,,
,,,,ENTRETIEN TERRAIN             ,63123000,V,,
,,,,ENTRETIEN TERRAIN             ,63124000,V,,
,,,,ENTRETIEN TERRAIN             ,63122000,V,,
,,,,ERIC TANQUIST                 ,42113030,D,,
,,,,ERIC TANQUIST                 ,42111030,D,,
,,,,ERIC TANQUIST                 ,42114030,D,,
,,,,ERIC TANQUIST                 ,42112030,D,,
,,,,ESOKOWA NGOLO                 ,45974030,D,,
,,,,ESOKOWA NGOLO                 ,45972030,D,,
,,,,ESOKOWA NGOLO                 ,45973030,D,,
,,,,ESOKOWA NGOLO                 ,45971030,D,,
,,,,ESVADM                        ,41002370,D,,
,,,,ESVADM                        ,41004370,D,,
,,,,ESVADM                        ,41003370,D,,
,,,,ESVADM                        ,41001370,D,,
,,,,ETAT MAJOR 6èME REGION        ,41013660,D,,
,,,,ETAT MAJOR 6èME REGION        ,41011660,D,,
,,,,ETAT MAJOR 6èME REGION        ,41014660,D,,
,,,,ETAT MAJOR 6èME REGION        ,41012660,D,,
,,,,Ets  TAKAS,46661580,,N,N
,,,,Ets ELA                       ,40001230,D,,
,,,,Ets ELA                       ,40004230,D,,
,,,,Ets ELA                       ,40003230,D,,
,,,,Ets ELA                       ,40002230,D,,
,,,,Ets JEAN ASSAKA,41011940,,N,N
,,,,ETTR                          ,41002470,D,,
,,,,ETTR                          ,41004470,D,,
,,,,ETTR                          ,41003470,D,,
,,,,ETTR                          ,41001470,D,,
,,,,EXAMEN COMPLEMENTAIRE,71011008,,N,N
,,,,EXAMENS D'APTITUDE PHYSIQUE   ,71012400,D,,
,,,,EXAMENS D'APTITUDE PHYSIQUE   ,71014400,D,,
,,,,EXAMENS D'APTITUDE PHYSIQUE   ,71013400,D,,
,,,,EXAMENS D'APTITUDE PHYSIQUE   ,71011400,D,,
,,,,EXAMENS LABO                  ,71012600,D,,
,,,,EXAMENS LABO                  ,71014600,D,,
,,,,EXAMENS LABO                  ,71013600,D,,
,,,,EXAMENS LABO                  ,71011600,D,,
,,,,EXCISIONS,71011009,,N,N
,,,,F.A.M. Pere Mullie            ,40001120,D,,
,,,,F.A.M. Pere Mullie            ,40003120,D,,
,,,,F.A.M. Pere Mullie            ,40002120,D,,
,,,,F.A.M. Pere Mullie            ,40004120,D,,
,,,,F.B. CONTRIBUTION AIMM        ,10032200,D,,
,,,,F.B. CONTRIBUTION AIMM        ,10033200,D,,
,,,,F.B. CONTRIBUTION AIMM        ,10034200,D,,
,,,,F.B. CONTRIBUTION AIMM        ,10031200,D,,
,,,,F.B. DONS DIVERS              ,10034100,D,,
,,,,F.B. DONS DIVERS              ,10031100,D,,
,,,,F.B. DONS DIVERS              ,10032100,D,,
,,,,F.B. DONS DIVERS              ,10033100,D,,
,,,,F.U.B. RESERVES SANTOS        ,10034300,D,,
,,,,F.U.B. RESERVES SANTOS        ,10033300,D,,
,,,,F.U.B. RESERVES SANTOS        ,10032300,D,,
,,,,F.U.B. RESERVES SANTOS        ,10031300,D,,
,,,,FAMILLE MANGALA               ,46202280,D,,
,,,,FAMILLE MANGALA               ,46201280,D,,
,,,,FAMILLE MANGALA               ,46204280,D,,
,,,,FAMILLE MANGALA               ,46203280,D,,
,,,,FAMILLE PAST. KATENDE/PREFET M,46661840,,N,N
,,,,FARDC,46902170,,N,N
,,,,FASS,41011910,,N,N
,,,,FICHES            ,70302000,D,,
,,,,FICHES            ,70303000,D,,
,,,,FICHES            ,70304000,D,,
,,,,FICHES            ,70301000,D,,
,,,,FIDELITY BANK                 ,56032000,D,,
,,,,FIDELITY BANK                 ,56034000,D,,
,,,,FIDELITY BANK                 ,56033000,D,,
,,,,FIDICIAIRE K.M.B.,63211100,,N,N
,,,,FILS LHUDAL LHUDAL            ,46664110,D,,
,,,,FILS LHUDAL LHUDAL            ,46663110,D,,
,,,,FILS LHUDAL LHUDAL            ,46662110,D,,
,,,,FILS LHUDAL LHUDAL            ,46661110,D,,
,,,,fluides iv et substitus du pla,60012139,,N,N
,,,,Fluides IV et substitut du pla,30012139,,N,N
,,,,Fluides IV et substituts du pl,30011139,,,
,,,,fluides iv et substituts du pl,30013139,,N,N
,,,,Fluides IV et substituts du pl,60011139,,,
,,,,FLUIDES IV ET SUBSTITUTS DU PL,70011139,,N,N
,,,,fluides iv et substituts du pl,60013139,,N,N
,,,,FLY CONGO (ex HBA),41011730,D,,
,,,,FONCT ECOLE A VERSER,46803000,,N,N
,,,,FONCTIONNEMENT ECOLE,71573000,,N,N
,,,,FONDS / CONSULTANT,46661300,,N,N
,,,,FONDS C.D. CDF,46661710,,N,N
,,,,FONDS C.D. USD,46661700,,N,N
,,,,FONDS CHARITE                 ,46202320,D,,
,,,,FONDS CHARITE                 ,10123270,D,,
,,,,FONDS CHARITE                 ,46201320,D,,
,,,,FONDS CHARITE                 ,10121270,D,,
,,,,FONDS CHARITE                 ,10124270,D,,
,,,,FONDS CHARITE                 ,10122270,D,,
,,,,FONDS CHARITE                 ,46204320,D,,
,,,,FONDS CHARITE                 ,46203320,D,,
,,,,FONDS DE RETRAITE             ,10503000,D,,
,,,,FONDS DE RETRAITE             ,10502000,D,,
,,,,FONDS DE RETRAITE             ,10501000,D,,
,,,,FONDS DE RETRAITE             ,10504000,D,,
,,,,FONDS D'EXPL. CL. DENT,46902000,,N,N
,,,,FONDS D'EXPLOITATION,46901000,,N,N
,,,,FONDS D'EXPLOITATION,46933000,,N,N
,,,,FONDS D'EXPLOITATION OPHT,46931400,,N,N
,,,,FONDS FISTULE UNICEF,76151129,,N,N
,,,,FONDS FISTULE UNICEF,57351129,,N,N
,,,,FONDS ISTM/MBF,46661740,,N,N
,,,,FONDS ITM CDF,46201070,,N,N
,,,,FONDS ITM FROM PCUSA,46661730,,N,N
,,,,FONDS ITM USD,46201160,,N,N
,,,,FONDS PROJET PAROISSE IMCK,46651270,,N,N
,,,,FONDS TBC                     ,46202030,D,,
,,,,FONDS TBC                     ,46201030,D,,
,,,,FONDS TBC                     ,46203030,D,,
,,,,FONDS TBC                     ,46204030,D,,
,,,,FORCES ARMEES CONGOLAISES     ,41011750,D,,
,,,,FORCES ARMEES CONGOLAISES     ,41012750,D,,
,,,,FORCES ARMEES CONGOLAISES     ,41014750,D,,
,,,,FORCES ARMEES CONGOLAISES     ,41013750,D,,
,,,,FOURNISSEUR GUEST HOUSE,40002170,,N,N
,,,,FOURNISSEURS                  ,40002000,D,,
,,,,FOURNISSEURS                  ,40004000,D,,
,,,,FOURNISSEURS                  ,40003000,D,,
,,,,FOURNISSEURS                  ,40001000,D,,
,,,,FOURNISSEURS DIVERS           ,40003110,D,,
,,,,FOURNISSEURS DIVERS           ,40001110,D,,
,,,,FOURNISSEURS DIVERS           ,40002110,D,,
,,,,FOURNISSEURS DIVERS           ,40004110,D,,
,,,,Fournisseurs WEM              ,40002200,D,,
,,,,Fournisseurs WEM              ,40003200,D,,
,,,,Fournisseurs WEM              ,40001200,D,,
,,,,Fournisseurs WEM              ,40004200,D,,
,,,,FOURNITURE OPTIQUE,61111400,,N,N
,,,,FOURNITURES D’ENTRETIEN   ,61604010,V,,
,,,,FOURNITURES D’ENTRETIEN   ,61603010,V,,
,,,,FOURNITURES D’ENTRETIEN   ,61602010,V,,
,,,,FOURNITURES D’ENTRETIEN   ,61601010,V,,
,,,,FOURNITURES DE BUREAU / AUTOF.,31312500,D,,
,,,,FOURNITURES DE BUREAU / AUTOF.,31311500,D,,
,,,,FOURNITURES DE BUREAU / AUTOF.,31314500,D,,
,,,,FOURNITURES DE BUREAU / AUTOF.,31313500,D,,
,,,,FOURNITURES DE BUREAU ITM     ,31352100,D,,
,,,,FOURNITURES DE BUREAU ITM     ,31354100,D,,
,,,,FOURNITURES DE BUREAU ITM     ,31351100,D,,
,,,,FOURNITURES DE BUREAU ITM     ,31324000,D,,
,,,,FOURNITURES DE BUREAU ITM     ,31323000,D,,
,,,,FOURNITURES DE BUREAU ITM     ,31321000,D,,
,,,,FOURNITURES DE BUREAU ITM     ,31322000,D,,
,,,,FOURNITURES DE BUREAU ITM     ,31353100,D,,
,,,,FOURNITURES DE SERVICE  ,61603000,V,,
,,,,FOURNITURES DE SERVICE  ,61602000,V,,
,,,,FOURNITURES DE SERVICE  ,61601000,V,,
,,,,FOURNITURES DE SERVICE  ,61604000,V,,
,,,,FOURNITURES DENTAIRES,61142500,,N,N
,,,,FOURNITURES MEDICALES         ,31114000,D,,
,,,,FOURNITURES MEDICALES         ,31113000,D,,
,,,,FOURNITURES MEDICALES         ,31112000,D,,
,,,,FOURNITURES MEDICALES         ,31111000,D,,
,,,,FOURNITURES NURSING,71015000,,N,N
,,,,FRAIS ADMINISTRATIFS          ,71163000,D,,
,,,,FRAIS ADMINISTRATIFS          ,71161000,D,,
,,,,FRAIS ADMINISTRATIFS          ,71164000,D,,
,,,,FRAIS ADMINISTRATIFS          ,71162000,D,,
,,,,FRAIS BANCAIRES               ,63301000,F,,
,,,,FRAIS BANCAIRES               ,63304000,F,,
,,,,FRAIS BANCAIRES               ,63303000,F,,
,,,,FRAIS BANCAIRES               ,63302000,F,,
,,,,FRAIS BANCAIRES BCDC USD,63301005,,N,N
,,,,FRAIS D'ADMISSION,71513000,,N,N
,,,,FRAIS DE JURY,64993000,,N,N
,,,,FRAIS D'INTERNAT,71533000,,N,N
,,,,FRAIS DIPLOME,71543000,,N,N
,,,,FRAIS FUNERAIRES,65321100,,N,N
,,,,FRAIS INTERNAT A VERSER,46903000,,N,N
,,,,FRAIS POSTES ET COMMUNICATIONS,63314000,V,,
,,,,FRAIS POSTES ET COMMUNICATIONS,63313000,V,,
,,,,FRAIS POSTES ET COMMUNICATIONS,63311000,V,,
,,,,FRAIS POSTES ET COMMUNICATIONS,63312000,V,,
,,,,FRS BANCAIRES BCDC,63301003,,N,N
,,,,FRS BANCAIRES CITI BANK,63301002,,N,N
,,,,FRS BANCAIRES FT,63301004,,N,N
,,,,FRS BANCAIRES WELLES FARGO/WAC,63301001,,N,N
,,,,FRS DE FORMATION DU PERSONNEL ,63344000,V,,
,,,,FRS DE FORMATION DU PERSONNEL ,63343000,V,,
,,,,FRS DE FORMATION DU PERSONNEL ,63342000,V,,
,,,,FRS DE FORMATION DU PERSONNEL ,63341000,V,,
,,,,"FRS D'HOTEL RESTAURANT",63301200,,N,N
,,,,FRS JUDICIAIRES,64803000,V,,
,,,,FRS JUDICIAIRES,64804000,V,,
,,,,FRS JUDICIAIRES,64802000,V,,
,,,,FRS JUDICIAIRES,64801000,V,,
,,,,FRS PERFECTIONNEMENT,46661620,,N,N
,,,,FRS PHARMACEUTIQUES CASH,65321000,F,,
,,,,"FRS PHARMACEUTIQUESFUNERAIRES",65324000,F,,
,,,,"FRS PHARMACEUTIQUESFUNERAIRES",65322000,F,,
,,,,"FRS PHARMACEUTIQUESFUNERAIRES",65323000,F,,
,,,,FRS POSTES ET TELECOMMUNICATIO,63301300,,N,N
,,,,FUNDS FOR A GASTRO SCOPE,10221340,,N,N
,,,,FUNDS FOR TRAINING ( MEDICAL W,10121450,,N,N
,,,,G.B.H.,46661280,,N,N
,,,,G.T.M./KANANGA,41011880,,N,N
,,,,gants,30013172,,N,N
,,,,Gants,30012172,,N,N
,,,,gants,60013171,,N,N
,,,,gants,60012172,,N,N
,,,,GANTS,70011172,,N,N
,,,,gants non  steriles,31112173,,N,N
,,,,Gants non Steriles,31111173,,,
,,,,gants non steriles,31113173,,N,N
,,,,gants non steriles,61113173,,N,N
,,,,Gants non Steriles,61111173,,,
,,,,gants non steriles,61112173,,N,N
,,,,Gants Steriles,30011172,,,
,,,,Gants Steriles,60011172,,,
,,,,GARAGE C.P.ZA                 ,41203100,D,,
,,,,GARAGE C.P.ZA                 ,41202100,D,,
,,,,GARAGE C.P.ZA                 ,41204100,D,,
,,,,GARAGE C.P.ZA                 ,41201100,D,,
,,,,GASOIL,61404000,,N,N
,,,,GASOIL,61402000,,N,N
,,,,GASOIL,61401000,,,
,,,,GASOIL,61403000,,N,N
,,,,GECAMINES                     ,40001030,D,,
,,,,GECAMINES                     ,40003030,D,,
,,,,GECAMINES                     ,40004030,D,,
,,,,GECAMINES                     ,40002030,D,,
,,,,GIBENDE ABONGE,65131200,,N,N
,,,,GIBENDE AMBONGE               ,42132200,D,,
,,,,GIBENDE AMBONGE               ,42131200,D,,
,,,,GIBENDE AMBONGE               ,42134200,D,,
,,,,GIBENDE AMBONGE               ,42133200,D,,
,,,,glucocorticoides,30013117,,N,N
,,,,Glucocorticoides,30012117,,N,N
,,,,GLUCOCORTICOIDES,70011117,,N,N
,,,,glucocorticoides,60012117,,N,N
,,,,glucocorticoides,60013117,,N,N
,,,,Glucocorticoïdes,30011117,,,
,,,,Glucocorticoïdes,60011117,,,
,,,,GOUVERNORAT,41001520,D,N,N
,,,,GOUVERNORAT,41004520,D,N,N
,,,,GOUVERNORAT,41002520,D,N,N
,,,,GOUVERNORAT,41003520,D,N,N
,,,,GOUVERNORAT,46902100,,N,N
,,,,GRAND COFFRE                  ,57301000,D,,
,,,,GRAND COFFRE                  ,57304000,D,,
,,,,GRAND COFFRE                  ,57303000,D,,
,,,,GRAND COFFRE                  ,57302000,D,,
,,,,GRAND COFFRE FC,57311000,,N,N
,,,,GRAND COFFRE FC,57313000,,N,N
,,,,GRAND COFFRE FC,57314000,,N,N
,,,,GRAND COFFRE FC,57312000,,N,N
,,,,GRAND COFFRE PLCK             ,57343400,D,,
,,,,GRAND COFFRE PLCK             ,57344400,D,,
,,,,GRAND COFFRE PLCK             ,57341400,D,,
,,,,GRAND COFFRE PLCK             ,57342400,D,,
,,,,GRAND SEMINAIRE KABUE         ,41003540,D,,
,,,,GRAND SEMINAIRE KABUE         ,41002540,D,,
,,,,GRAND SEMINAIRE KABUE         ,41004540,D,,
,,,,GRAND SEMINAIRE KABUE         ,41001540,D,,
,,,,GRAND SEMINAIRE MALOLE        ,41004550,D,,
,,,,GRAND SEMINAIRE MALOLE        ,41003550,D,,
,,,,GRAND SEMINAIRE MALOLE        ,41002550,D,,
,,,,GREFFES DERMO-EPIDERMIQUES,71011010,,N,N
,,,,GROUPE ELECTROGENE PAX,22501000,,N,N
,,,,GROUPE ELECTROGENE PAX,22611700,,N,N
,,,,GROUPE ELECTROGENE PAX II,22611800,,N,N
,,,,GROUPE ELETROGENE,61871100,,N,N
,,,,GROUPE ELETROGENE HBB,22501002,,N,N
,,,,GROUPE ELETROGENE PAX 2,22501001,,N,N
,,,,GROUPE KILU  SPRL,41011830,,N,N
,,,,GUEST - HOUSE                 ,46241200,D,,
,,,,GUEST - HOUSE                 ,46244200,D,,
,,,,GUEST - HOUSE                 ,46242200,D,,
,,,,GUEST - HOUSE                 ,46243200,D,,
,,,,Guest Department              ,46202140,D,,
,,,,Guest Department              ,46201140,D,,
,,,,Guest Department              ,46203140,D,,
,,,,Guest Department              ,46204140,D,,
,,,,GUEST HOUSE                   ,46641200,D,,
,,,,GUEST HOUSE                   ,46643200,D,,
,,,,GUEST HOUSE                   ,46642200,D,,
,,,,GUEST HOUSE                   ,46644200,D,,
,,,,GYNECOLOGIE,71011011,,N,N
,,,,HANINGER COUPLE               ,10123350,D,,
,,,,HANINGER COUPLE               ,10122350,D,,
,,,,HANINGER COUPLE               ,10124350,D,,
,,,,HERNIE,71011012,,N,N
,,,,HIV/AIDS EDUCATION,10121480,,N,N
,,,,HONORAIRES,63203000,F,,
,,,,HONORAIRES,63204000,F,,
,,,,HONORAIRES,63201000,F,,
,,,,HONORAIRES,63202000,F,,
,,,,HONORAIRES  S/OPERATIONS FISTU,63211129,,N,N
,,,,HONORAIRES AUDITEURS          ,63203030,F,,
,,,,HONORAIRES AUDITEURS          ,63201030,F,,
,,,,HONORAIRES AUDITEURS          ,63204030,F,,
,,,,HONORAIRES AUDITEURS          ,63202030,F,,
,,,,HONORAIRES AVOCAT,63204010,F,,
,,,,HONORAIRES AVOCAT,63203010,F,,
,,,,HONORAIRES AVOCAT,63202010,F,,
,,,,HONORAIRES AVOCAT,63201010,F,,
,,,,HONORAIRES CONSULTANT,63203020,F,,
,,,,HONORAIRES CONSULTANT,63201020,F,,
,,,,HONORAIRES CONSULTANT,63202020,F,,
,,,,HONORAIRES CONSULTANT,63204020,F,,
,,,,HONORAIRES SUR FORMATION      ,63234400,F,,
,,,,HONORAIRES SUR FORMATION      ,63233400,F,,
,,,,HONORAIRES SUR FORMATION      ,63232400,F,,
,,,,HONORAIRES SUR FORMATION      ,63231400,F,,
,,,,HOPITAL BIBANGA               ,41203110,D,,
,,,,HOPITAL BIBANGA               ,41202110,D,,
,,,,HOPITAL BIBANGA               ,41204110,D,,
,,,,HOPITAL BON BERGER,46663400,,N,N
,,,,HOPITAL BULAPE                ,41204120,D,,
,,,,HOPITAL BULAPE                ,41201120,D,,
,,,,HOPITAL BULAPE                ,41202120,D,,
,,,,HOPITAL BULAPE                ,41203120,D,,
,,,,HOPITAL BULAPE                ,46664010,D,,
,,,,HOPITAL BULAPE                ,46661010,D,,
,,,,HOPITAL BULAPE                ,46663010,D,,
,,,,HOPITAL BULAPE                ,46662010,D,,
,,,,HOPITAL KALONDA               ,41203130,D,,
,,,,HOPITAL KALONDA               ,41204130,D,,
,,,,HOPITAL KALONDA               ,41202130,D,,
,,,,HOPITAL KAPANGA               ,41201140,D,,
,,,,HOPITAL KAPANGA               ,41202140,D,,
,,,,HOPITAL KAPANGA               ,41203140,D,,
,,,,HOPITAL KAPANGA               ,41204140,D,,
,,,,HOPITAL LUAMBO                ,46202340,D,,
,,,,HOPITAL LUAMBO                ,46201340,D,,
,,,,HOPITAL LUAMBO                ,46203340,D,,
,,,,HOPITAL LUAMBO                ,46204340,D,,
,,,,HOPITAL LUBONDAYI             ,46663100,D,,
,,,,HOPITAL LUBONDAYI             ,46662100,D,,
,,,,HOPITAL LUBONDAYI             ,46661100,D,,
,,,,HOPITAL LUBONDAYI             ,46664100,D,,
,,,,HOPITAL LUEBO,41201490,,N,N
,,,,HOPITAL LUEBO                 ,46664220,D,,
,,,,HOPITAL LUEBO                 ,46661220,D,,
,,,,HOPITAL LUEBO                 ,46662220,D,,
,,,,HOPITAL LUEBO                 ,46663220,D,,
,,,,HOPITAL MUTOTO                ,41204150,D,,
,,,,HOPITAL MUTOTO                ,41203150,D,,
,,,,HOPITAL MUTOTO                ,41202150,D,,
,,,,HOPITAL MUTOTO,41201150,,N,N
,,,,hormones sexuelles et contrace,30013119,,N,N
,,,,Hormones sexuelles et contrace,30011119,,,
,,,,Hormones sexuelles et contrace,30012119,,N,N
,,,,Hormones sexuelles et contrace,60011119,,,
,,,,hormones sexuelles et contrace,60012119,,N,N
,,,,hormones sexuelles et contrace,60013119,,N,N
,,,,HORMONESSEXUELLES ET CONTRACEP,70011119,,N,N
,,,,HOSPICE (TSHITUDILU) 25 ANS   ,22144200,D,,
,,,,HOSPICE (TSHITUDILU) 25 ANS   ,22141200,D,,
,,,,HOSPICE (TSHITUDILU) 25 ANS   ,22142200,D,,
,,,,HOSPICE (TSHITUDILU) 25 ANS   ,22143200,D,,
,,,,HOSPICE TSHITUDILU (25 ANS),22101002,,N,N
,,,,HOSPITALISATION,71011013,,N,N
,,,,HOTEL DE VILLE                ,41003590,D,,
,,,,HOTEL DE VILLE                ,41004590,D,,
,,,,HOTEL DE VILLE                ,41001590,D,,
,,,,HOTEL DE VILLE                ,41002590,D,,
,,,,HYDRO/PCES,61871300,,N,N
,,,,HYDROELECTRIC SYSTEM AT TSHIKA,10121380,,N,N
,,,,HYDROELECTRIC SYSTEME ATTSHIK,15330101,,N,N
,,,,I.D.A.                        ,40003150,D,,
,,,,I.D.A.                        ,40002150,D,,
,,,,I.D.A.                        ,40004150,D,,
,,,,I.N.S.S.                      ,41003610,D,,
,,,,I.N.S.S.                      ,41002610,D,,
,,,,I.N.S.S.                      ,41004610,D,,
,,,,I.N.S.S.                      ,41001610,D,,
,,,,I.S.T.M./TSHIKAJI,46661590,,N,N
,,,,ILUNGA ILUNGA                 ,42153940,D,,
,,,,ILUNGA ILUNGA                 ,42151940,D,,
,,,,ILUNGA ILUNGA                 ,42152940,D,,
,,,,ILUNGA ILUNGA                 ,42154940,D,,
,,,,ILUNGA ILUNGA,65151940,,N,N
,,,,ILUNGA KABASELE,42171430,,N,N
,,,,ILUNGA KABIENA                ,42141310,D,,
,,,,ILUNGA KABIENA                ,42144310,D,,
,,,,ILUNGA KABIENA                ,42143310,D,,
,,,,ILUNGA KABIENA                ,42142310,D,,
,,,,ILUNGA LUNTU                  ,45942040,D,,
,,,,ILUNGA LUNTU                  ,45944040,D,,
,,,,ILUNGA LUNTU                  ,45941040,D,,
,,,,ILUNGA LUNTU                  ,45943040,D,,
,,,,ILUNGA MALENGA                ,42133010,D,,
,,,,ILUNGA MALENGA                ,42134010,D,,
,,,,ILUNGA MALENGA                ,42132010,D,,
,,,,ILUNGA MULAJA                 ,45981340,D,,
,,,,ILUNGA MULAJA                 ,45984340,D,,
,,,,ILUNGA MULAJA                 ,45983340,D,,
,,,,ILUNGA MULAJA                 ,45982340,D,,
,,,,ILUNGA MULUMBA,42141320,,N,N
,,,,ILUNGA MULUMBA                ,42144320,D,,
,,,,ILUNGA MULUMBA                ,42143320,D,,
,,,,ILUNGA MULUMBA                ,42142320,D,,
,,,,ILUNGA NKASHAMA,45043220,,N,N
,,,,ILUNGA NKASHAMA,42171320,,N,N
,,,,ILUNGA NKASHAMA,65171320,,N,N
,,,,IMCK HOPITAL BON BERGER,46662710,,N,N
,,,,IMCK MBF                      ,56204000,D,,
,,,,IMCK MBF                      ,56203000,D,,
,,,,IMCK MBF                      ,56202000,D,,
,,,,IMCK MBF                      ,56201000,D,,
,,,,IMCK MEDICAL NURSES &NEEDS,10221590,,N,N
,,,,IMCK NURSES BUILDING,10221580,,N,N
,,,,IMCK OP.DENTAIRE              ,56004100,D,,
,,,,IMCK OP.DENTAIRE              ,56003100,D,,
,,,,IMCK OP.DENTAIRE              ,56001100,D,,
,,,,IMCK OP.DENTAIRE              ,56002100,D,,
,,,,IMCK OPERATING General        ,56003000,D,,
,,,,IMCK OPERATING General        ,56002000,D,,
,,,,IMCK OPERATING General        ,56004000,D,,
,,,,IMCK OPERATING General        ,56001000,D,,
,,,,IMCK PCUSA                    ,56103000,D,,
,,,,IMCK PCUSA                    ,56101000,D,,
,,,,IMCK PCUSA                    ,56102000,D,,
,,,,IMCK PCUSA                    ,56104000,D,,
,,,,IMCK PLCK                     ,56403000,D,,
,,,,IMCK PLCK                     ,56404000,D,,
,,,,IMCK PLCK                     ,56402000,D,,
,,,,IMCK PLCK                     ,56401000,D,,
,,,,IMCK RESERVES                 ,56054000,D,,
,,,,IMCK RESERVES                 ,56053000,D,,
,,,,IMCK RESERVES                 ,56052000,D,,
,,,,IMCK RESERVES                 ,56051000,D,,
,,,,IMCK RESERVES DENTAIRES       ,56303000,D,,
